Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,quorumVotes,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,7.2396e+21,,15741316,1665689771,0x49b6cdd0a15a07f758e0785cfd9750a9e3af7989f2568f76d88a2813b8789589,0x380fa2de19badefeaa3a7b831d40575e88852871,16201485332299789714058702064431388009005118077906802655898723771386134305591,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665688823,1665688823,1666123199,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,inf
FOR,5.3008e+21,,15741274,1665689255,0x8d5855a26cd2853ef596d0cacdbb3035b5ff2d121bee013ff73d0693812ee04f,0xae7a25591ce046808f0c15eac4634f6608f9016a,16201485332299789714058702064431388009005118077906802655898723771386134305591,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665688823,1665688823,1666123199,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,inf
FOR,0.0,,15763058,1665952055,0xe9f0e5d464fc2cb1977c4b762cd6e8cedc8f6ce3ca24bc71ea1e2fe92238c368,0xc6aa9a8f6033885c21f83e5309c1907e1d5f6025,16201485332299789714058702064431388009005118077906802655898723771386134305591,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665688823,1665688823,1666123199,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,
FOR,0.0,,15748967,1665782075,0xbf99d3db66226dae48718c7c46ee270ed34254f371210b99c2f227beb4f245a5,0xe1a83c678e6ca74f779de0507408ce368a026ee9,16201485332299789714058702064431388009005118077906802655898723771386134305591,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665688823,1665688823,1666123199,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,
FOR,7.2396e+21,,15741354,1665690227,0xbe1f85d270aa376c280a273655d42087dbd5479e4d4c22e50c3a8cfd0bf6302d,0x380fa2de19badefeaa3a7b831d40575e88852871,85409801300318319755134500206049230375948159685722342385382076350328930182822,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665687599,1665687599,1666121987,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,inf
FOR,0.0,,15747613,1665765767,0x81d577f5af9afd8841c03bbe29b58b486206bd5864be6c0e0f7d98b0ee737be7,0x7bcec44c7486143ee875103de66006047cae8df7,85409801300318319755134500206049230375948159685722342385382076350328930182822,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665687599,1665687599,1666121987,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,
FOR,5.3008e+21,,15741277,1665689291,0x7fd6fd133bfea1a125265f62f45a509672315921630038eeeeff2e0300099a54,0xae7a25591ce046808f0c15eac4634f6608f9016a,85409801300318319755134500206049230375948159685722342385382076350328930182822,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665687599,1665687599,1666121987,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,inf
FOR,0.0,,15747423,1665763463,0x9623aa0e9e8f4458802b7aaf1282bf2dcbbd892d0a7c402f004043eee5c28a85,0xd6fd705ee0b31a9300d3e2154bcce777270cbb6f,85409801300318319755134500206049230375948159685722342385382076350328930182822,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665687599,1665687599,1666121987,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,
FOR,0.0,,15748977,1665782195,0x951c5779c54859d2cc446993044aa4e0c3ba1f1f53331a14d7dc84ba6487e10e,0xe1a83c678e6ca74f779de0507408ce368a026ee9,85409801300318319755134500206049230375948159685722342385382076350328930182822,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,5,0,5,0,12540400000000000000000,0,12540400000000000000000,1665687599,1665687599,1666121987,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,
FOR,7.2396e+21,,15741340,1665690059,0x0827e9a55dc432d2d7bb4b1cfa01642fffbfa0a8f74c10083462cd96cb5080bb,0x380fa2de19badefeaa3a7b831d40575e88852871,97409349209803362301816706174493051822910100954643090713784190610769271757167,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,3,0,3,0,12540400000000000000000,0,12540400000000000000000,1665688331,1665688331,1666122719,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,inf
FOR,5.3008e+21,,15741276,1665689279,0xb0d13a214320239dc616ef3b75ef2388a73df6176808219cec04092c59935902,0xae7a25591ce046808f0c15eac4634f6608f9016a,97409349209803362301816706174493051822910100954643090713784190610769271757167,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,3,0,3,0,12540400000000000000000,0,12540400000000000000000,1665688331,1665688331,1666122719,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,inf
FOR,0.0,,15748973,1665782147,0x644e2f46fc5cb0fe279f6331d62911d38ce9c8758a971724ceb1a2a65129b4e2,0xe1a83c678e6ca74f779de0507408ce368a026ee9,97409349209803362301816706174493051822910100954643090713784190610769271757167,rarible,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,2790060000000000000000,0,0,0,3,0,3,0,12540400000000000000000,0,12540400000000000000000,1665688331,1665688331,1666122719,0x2a446abae8973a70225796ae7b461afe77fdbed5,0.0,
